Author,URL,Points
uykusuz,https://steemit.com/blocktradesworldcup/@uykusuz/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
isabelpena,https://steemit.com/blocktradesworldcup/@isabelpena/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
steem-d-anlovnit,https://steemit.com/blocktradesworldcup/@steem-d-anlovnit/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,5
bolivarense,https://steemit.com/blocktradesworldcup/@bolivarense/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
zulfikaraw,https://steemit.com/blocktradesworldcup/@zulfikaraw/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
yayamorales,https://steemit.com/blocktradesworldcup/@yayamorales/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
yameen,https://steemit.com/blocktradesworldcup/@yameen/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
xz2580,https://steemit.com/blocktradesworldcup/@xz2580/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
xtramedium,https://steemit.com/blocktradesworldcup/@xtramedium/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
tonimontana,https://steemit.com/blocktradesworldcup/@tonimontana/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
tjcdc,https://steemit.com/blocktradesworldcup/@tjcdc/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
theguymasamato,https://steemit.com/blocktradesworldcup/@theguymasamato/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
temitayo-pelumi,https://steemit.com/blocktradesworldcup/@temitayo-pelumi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
teeflow,https://steemit.com/blocktradesworldcup/@teeflow/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
symonp,https://steemit.com/blocktradesworldcup/@symonp/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
steemlegend,https://steemit.com/blocktradesworldcup/@steemlegend/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
solute,https://steemit.com/blocktradesworldcup/@solute/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
shirani,https://steemit.com/blocktradesworldcup/@shirani/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
sbamsoneu,https://steemit.com/blocktradesworldcup/@sbamsoneu/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-5058bbf1c4616,4
rosz,https://steemit.com/blocktradesworldcup/@rosz/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
rokz,https://steemit.com/blocktradesworldcup/@rokz/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
richgang,https://steemit.com/blocktradesworldcup/@richgang/my-blocktrades-world-cup-or-my-selection-for-the-quarter-final,4
rhmi90,https://steemit.com/blocktradesworldcup/@rhmi90/world-cup-or-my-selections-for-the-quarter-finals-1e0c42ef59878,4
reciclajeymas,https://steemit.com/blocktradesworldcup/@reciclajeymas/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
rauzaljm,https://steemit.com/blocktradesworldcup/@rauzaljm/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals-ca454e0b48778,4
ralk98,https://steemit.com/blocktradesworldcup/@ralk98/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
ptcmyanmar,https://steemit.com/blocktradesworldcup/@ptcmyanmar/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
polishcraftbeers,https://steemit.com/blocktradesworldcup/@polishcraftbeers/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
oyec,https://steemit.com/blocktradesworldcup/@oyec/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
orlarmylekan,https://steemit.com/blocktradesworldcup/@orlarmylekan/the-blocktrades-world-cup-my-selections-for-the-quarter-final,4
omowumi,https://steemit.com/blocktradesworldcup/@omowumi/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
nzikak,https://steemit.com/blocktradesworldcup/@nzikak/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
neo-wiza,https://steemit.com/blocktradesworldcup/@neo-wiza/the-blocktrades-world-cup-or-my-selections-for-the-quarter-finals,4
